Target,C,C,C,C,C,C,LCE,LCE,LCE,LCE,LCE,LCE,aC,aC,aC,aC,aC,aC,sC,sC,sC,sC,sC,sC
Metric,MAE_mean,MAE_std,R2_mean,R2_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std,RMSE_mean,RMSE_std
Model,,,,,,,,,,,,,,,,,,,,,,,,
QASA,0.014390906524072582,0.0015894915030523152,0.5192737209110695,0.09424161827952869,0.01801148935889558,0.0017573731879979226,0.27094183150087603,0.02880623677957001,0.39128852590601426,0.13713572441966843,0.35172414907393684,0.03892990101701442,0.004670594605216575,0.00040289338893050806,0.39779922591427425,0.10922754742689586,0.006333114145609483,0.000571893484474004,0.016197983951976958,0.0017815676525350006,0.48726660997441207,0.10306714279507546,0.019929013583308893,0.001995598907668112
QLSTM,0.01633415083406473,0.0011974818009828664,0.3388725415415393,0.0951773736771083,0.021161907913990818,0.0015463524809890858,0.3156615405483498,0.016834585423184854,0.27096657276473374,0.07472900200836036,0.38656219436769007,0.020178658529827687,0.0039924784671561435,0.0002373121469797946,-0.0076582661203029815,0.04839937385195624,0.008220145609430305,0.00019647103213700962,0.01886186727826046,0.0018711286698561503,0.2584472566472222,0.17508642210882627,0.023941570095727005,0.002665623952744443
QNN,0.018069164065295937,0.003333817104545365,0.2607309224539839,0.22813611931584124,0.022171770332470433,0.0035863942035491204,0.3177416822619893,0.06723703377386818,0.20465368848461388,0.30260373938596064,0.39772586720662,0.0762775774514101,0.005492159762340465,0.0004421937418932229,0.02714256954343831,0.16798461956221816,0.008051793455840887,0.0006986562922393327,0.019535662653495173,0.003718273471644237,0.2048213199206488,0.26857073277996724,0.02458053306811649,0.00438493917936368
Transformer,0.013587195116035764,0.0013611933385002833,0.5917600451915402,0.09245023825140689,0.01658296821327537,0.0017834400405380396,0.24010680658554578,0.035100586774870414,0.531231729502298,0.1203541235880943,0.3079653415778159,0.04050567648687421,0.00487449370649921,0.00033831043999324234,0.34216815368415526,0.07299289204221301,0.006634229597411414,0.0003682890707075077,0.01531983461736245,0.0023794633211670873,0.5441201036962029,0.1457022475870931,0.01867859426378083,0.0028719866686070517
ResNet,0.021764126228107455,0.002938463066452441,-0.07233890535212883,0.3062975153551973,0.026731874446718536,0.004118415705659112,0.32047003030938165,0.038846595175104665,0.21034706291280272,0.2226208272727127,0.39963815728373936,0.05314356951486251,0.005438895837282368,0.0007453617241270745,0.22521981469352445,0.1524481304439197,0.007179007661674659,0.0007017364860873936,0.025819198745066385,0.0042455146143779675,-0.3435823060753781,0.3571579420624885,0.032100771823575056,0.004675872331453066
MLP,0.017160091683029767,0.0017930950213826964,0.31190452090487164,0.18706936162431345,0.021467097071620946,0.002886217324301927,0.3065283164992723,0.04491182003443128,0.25591203565165244,0.24046341384437345,0.38694558503594617,0.05928469771907846,0.005264678096103563,0.000409467474951227,0.03433689607699299,0.12294046036603244,0.008034180375784312,0.0005163464566197589,0.02093151090473623,0.0028789046021540847,0.10994027436308075,0.24990767565577776,0.026152269734358274,0.003609378024963152
SVR,0.01013871705013325,,0.7588424707912578,,0.01281160865884107,,0.16768806189192,,0.7778861578082952,,0.2136315274809577,,0.0030160499775110693,,0.0557840786023609,,0.007959213407401775,,0.01233798659782459,,0.7302850950994142,,0.014519220692105131,
KNN,0.01286260043149512,,0.5777511592168354,,0.01695264565524353,,0.19751137653568213,,0.7082576295962006,,0.24483713393648043,,0.004147364967166275,,0.13598886168599655,,0.007613671949114916,,0.01392754977593306,,0.6159483442834479,,0.017325495097984832,
LightGBM,0.013004274309491594,,0.6304392076848335,,0.015859744854146506,,0.059166626555011835,,0.9639436209146834,,0.08607332676553545,,0.003771391439380224,,0.43073542584994384,,0.006180044024559242,,0.011363848612961724,,0.7120724981616169,,0.015001421290199036,
XGBoost,0.008968425781656356,,0.7396639990099791,,0.013311296776856435,,0.014432512650293864,,0.997187665557948,,0.02403870213752013,,0.002636379973846622,,0.25669201362551364,,0.007061856517420182,,0.007840363566395493,,0.8126496872436086,,0.012100910373331412,
